level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	4	1	7	1	159	576	60	16	95.823853	RIDGE
5	1	4	1	7	2	228	576	86	16	93.292015	HEIGHTS
5	1	4	1	7	3	323	576	142	16	92.406624	MADEUPVILLE
5	1	4	1	7	4	474	576	34	16	96.371582	MA
5	1	4	1	7	5	515	576	61	16	96.371582	60010
5	1	4	1	7	6	1004	568	34	16	96.808167	Tax
5	1	4	1	7	7	1045	572	31	17	96.170120	reg
4	1	4	1	8	0	1006	598	101	16	-1	
5	1	4	1	8	1	1006	598	101	16	88.159622	101-2-303
4	1	4	1	9	0	159	612	40	16	-1	
5	1	4	1	9	1	159	612	40	16	96.252647	USA
4	1	4	1	10	0	157	645	202	21	-1	
5	1	4	1	10	1	157	645	33	16	96.901901	Tax
5	1	4	1	10	2	197	649	36	17	96.758888	reg:
5	1	4	1	10	3	242	645	23	16	95.543190	90
5	1	4	1	10	4	272	645	87	16	96.010651	9877899
4	1	4	1	11	0	88	812	1478	30	-1	
5	1	4	1	11	1	88	812	116	30	96.653412	Description
5	1	4	1	11	2	878	812	90	30	96.865105	Quantity
5	1	4	1	11	3	1093	816	42	17	96.983078	Unit
5	1	4	1	11	4	1143	816	49	17	96.414375	Price
5	1	4	1	11	5	1308	817	34	16	96.570908	Tax
5	1	4	1	11	6	1433	817	84	16	96.556046	Amount
5	1	4	1	11	7	1524	817	42	16	96.556046	USD
4	1	4	1	12	0	87	879	1478	22	-1	
5	1	4	1	12	1	87	879	42	17	95.127701	Golf
5	1	4	1	12	2	136	879	44	17	93.211220	balls
5	1	4	1	12	3	187	889	6	2	93.082855	-
5	1	4	1	12	4	200	879	56	17	96.987556	white
5	1	4	1	12	5	263	879	57	22	96.733932	single
5	1	4	1	12	6	912	880	55	16	96.843887	40.00
5	1	4	1	12	7	1150	880	42	16	96.819855	5.17
5	1	4	1	12	8	1281	880	60	17	95.934624	8.25%
5	1	4	1	12	9	1498	880	67	16	94.684784	206.93
4	1	4	1	13	0	88	943	1478	22	-1	
5	1	4	1	13	1	88	943	81	22	96.960480	Delivery
5	1	4	1	13	2	176	943	66	22	96.691017	charge
5	1	4	1	13	3	926	944	41	16	96.612953	1.00
5	1	4	1	13	4	1138	944	54	16	73.617790	10.00
5	1	4	1	13	5	1228	944	32	16	77.927750	Tax
5	1	4	1	13	6	1268	944	74	21	96.369080	Exempt
5	1	4	1	13	7	1512	944	54	16	96.015076	10.00
4	1	4	1	14	0	1258	1002	307	31	-1	
5	1	4	1	14	1	1258	1002	83	31	96.966667	Subtotal
5	1	4	1	14	2	1498	1007	67	16	94.268684	216.93
4	1	4	1	15	0	1145	1069	421	17	-1	
5	1	4	1	15	1	1145	1069	62	16	96.044479	TOTAL
5	1	4	1	15	2	1220	1069	42	16	96.044479	CITY
5	1	4	1	15	3	1269	1069	36	16	95.625374	TAX
5	1	4	1	15	4	1312	1069	29	17	95.871254	4%
5	1	4	1	15	5	1523	1069	43	16	94.133102	8.28
4	1	4	1	16	0	1099	1130	467	17	-1	
5	1	4	1	16	1	1099	1130	62	16	96.763374	TOTAL
5	1	4	1	16	2	1174	1130	56	16	96.118210	STATE
5	1	4	1	16	3	1237	1130	37	16	96.265450	TAX
5	1	4	1	16	4	1280	1130	61	17	96.454407	4.25%
5	1	4	1	16	5	1523	1130	43	16	95.616402	8.79
4	1	4	1	17	0	1229	1194	337	16	-1	
5	1	4	1	17	1	1229	1194	64	16	96.208672	TOTAL
5	1	4	1	17	2	1300	1194	41	16	96.714622	USD
5	1	4	1	17	3	1498	1194	68	16	95.496758	234.00
2	1	5	0	0	0	79	1320	1039	56	-1	
3	1	5	1	0	0	79	1320	1039	56	-1	
4	1	5	1	1	0	80	1320	259	19	-1	
5	1	5	1	1	1	80	1320	48	19	96.585327	Due
5	1	5	1	1	2	137	1320	64	19	96.146484	Date:
5	1	5	1	1	3	211	1320	12	19	95.950493	1
5	1	5	1	1	4	231	1320	39	19	95.950493	Jan
5	1	5	1	1	5	280	1320	59	19	96.444077	2026
4	1	5	1	2	0	79	1354	1039	22	-1	
5	1	5	1	2	1	79	1354	59	17	96.891617	When
5	1	5	1	2	2	147	1355	64	21	96.269455	paying
5	1	5	1	2	3	219	1354	22	22	96.400505	by
5	1	5	1	2	4	248	1354	62	21	96.904602	check,
5	1	5	1	2	5	319	1354	63	22	96.785973	please
5	1	5	1	2	6	389	1354	93	22	96.788300	complete
5	1	5	1	2	7	489	1354	36	17	96.535362	this
5	1	5	1	2	8	533	1356	88	20	96.446976	payment
5	1	5	1	2	9	628	1354	69	21	96.670456	advice,
5	1	5	1	2	10	705	1354	66	17	96.494293	detach
5	1	5	1	2	11	780	1354	35	17	96.745667	and
5	1	5	1	2	12	824	1356	42	20	96.941544	post
5	1	5	1	2	13	873	1356	20	15	96.941544	to
5	1	5	1	2	14	900	1354	32	17	97.017754	the
5	1	5	1	2	15	940	1354	77	17	96.681801	address
5	1	5	1	2	16	1025	1354	93	22	96.718491	provided.
2	1	6	0	0	0	80	1414	1343	22	-1	
3	1	6	1	0	0	80	1414	1343	22	-1	
4	1	6	1	1	0	80	1414	1343	22	-1	
5	1	6	1	1	1	80	1414	64	17	95.739296	Online
5	1	6	1	1	2	153	1416	87	20	96.534683	payment
5	1	6	1	1	3	248	1414	92	22	92.937645	preferred
5	1	6	1	1	4	348	1424	6	2	92.937645	-
5	1	6	1	1	5	363	1419	32	12	96.510185	use
5	1	6	1	1	6	403	1419	34	12	96.828468	our
5	1	6	1	1	7	444	1416	78	15	93.263588	account
5	1	6	1	1	8	529	1415	178	16	92.578117	090-8007-006543
5	1	6	1	1	9	715	1419	21	12	96.968941	or
5	1	6	1	1	10	743	1419	33	12	96.991135	use
5	1	6	1	1	11	783	1414	32	17	93.285873	the
5	1	6	1	1	12	824	1414	38	22	91.222870	'Pay
5	1	6	1	1	13	869	1414	62	17	92.959175	online
5	1	6	1	1	14	939	1414	46	17	84.780693	now'
5	1	6	1	1	15	994	1414	34	17	96.997467	link
5	1	6	1	1	16	1035	1416	19	15	96.823044	to
5	1	6	1	1	17	1063	1419	34	17	96.947594	pay
5	1	6	1	1	18	1103	1415	27	16	96.425880	via
5	1	6	1	1	19	1139	1414	62	22	96.370049	PayPal
5	1	6	1	1	20	1209	1414	43	17	96.702736	with
5	1	6	1	1	21	1260	1419	45	17	96.994690	your
5	1	6	1	1	22	1312	1414	56	17	96.503067	credit
5	1	6	1	1	23	1376	1414	47	17	96.651176	card.
2	1	7	0	0	0	79	1564	313	25	-1	
3	1	7	1	0	0	79	1564	313	25	-1	
4	1	7	1	1	0	79	1564	313	25	-1	
5	1	7	1	1	1	79	1564	62	20	96.858559	View
5	1	7	1	1	2	149	1564	44	20	96.082626	and
5	1	7	1	1	3	203	1570	43	19	96.675690	pay
5	1	7	1	1	4	254	1564	76	20	95.451477	online
5	1	7	1	1	5	340	1570	52	14	96.844048	now
2	1	8	0	0	0	87	1504	48	31	-1	
3	1	8	1	0	0	87	1504	48	31	-1	
4	1	8	1	1	0	87	1504	48	31	-1	
5	1	8	1	1	1	87	1504	48	31	95.000000	 
2	1	9	0	0	0	79	1586	314	4	-1	
3	1	9	1	0	0	79	1586	314	4	-1	
4	1	9	1	1	0	79	1586	314	4	-1	
5	1	9	1	1	1	79	1586	314	4	95.000000	 
2	1	10	0	0	0	80	2084	533	18	-1	
3	1	10	1	0	0	80	2084	533	18	-1	
4	1	10	1	1	0	80	2084	533	18	-1	
5	1	10	1	1	1	80	2084	83	18	96.367729	Registered
5	1	10	1	1	2	170	2084	51	14	96.925468	Office:
5	1	10	1	1	3	228	2085	18	13	96.948402	23
5	1	10	1	1	4	253	2085	39	13	96.487389	Main
5	1	10	1	1	5	299	2085	52	16	96.432693	Street,
5	1	10	1	1	6	357	2084	57	14	96.432693	Central
5	1	10	1	1	7	420	2085	32	17	93.306000	City,
5	1	10	1	1	8	460	2084	93	17	89.861298	Marineville,
5	1	10	1	1	9	561	2085	52	13	96.700119	12345.
1	1	0	0	0	0	0	0	1700	2200	-1	
2	1	1	0	0	0	92	1683	468	44	-1	
3	1	1	1	0	0	92	1683	468	44	-1	
4	1	1	1	1	0	92	1683	468	44	-1	
5	1	1	1	1	1	92	1684	254	42	96.547333	PAYMENT
5	1	1	1	1	2	363	1683	197	44	96.225090	ADVICE
2	1	2	0	0	0	165	1756	294	126	-1	
3	1	2	1	0	0	165	1756	294	126	-1	
4	1	2	1	1	0	165	1756	294	21	-1	
5	1	2	1	1	1	165	1757	28	16	96.170776	To:
5	1	2	1	1	2	215	1757	57	16	96.170776	Demo
5	1	2	1	1	3	280	1757	94	20	96.301865	Company
5	1	2	1	1	4	382	1756	77	21	96.653542	(Global)
4	1	2	1	2	0	214	1794	148	16	-1	
5	1	2	1	2	1	214	1794	22	16	96.899384	23
5	1	2	1	2	2	246	1794	48	16	96.780731	Main
5	1	2	1	2	3	302	1794	60	16	96.480171	Street
4	1	2	1	3	0	214	1829	115	21	-1	
5	1	2	1	3	1	214	1829	70	17	96.766060	Central
5	1	2	1	3	2	292	1830	37	20	96.993896	City
4	1	2	1	4	0	215	1866	202	16	-1	
5	1	2	1	4	1	215	1866	134	16	92.819313	MARINEVILLE
5	1	2	1	4	2	358	1866	59	16	96.020203	12345
2	1	3	0	0	0	80	2084	533	18	-1	
3	1	3	1	0	0	80	2084	533	18	-1	
4	1	3	1	1	0	80	2084	533	18	-1	
5	1	3	1	1	1	80	2085	83	17	95.828941	Registered
5	1	3	1	1	2	170	2084	51	14	96.999763	Office:
5	1	3	1	1	3	228	2085	18	13	96.853134	23
5	1	3	1	1	4	253	2085	39	13	96.976357	Main
5	1	3	1	1	5	299	2085	52	16	96.984604	Street,
5	1	3	1	1	6	357	2084	56	14	96.762344	Central
5	1	3	1	1	7	420	2085	32	17	93.283783	City,
5	1	3	1	1	8	460	2084	93	17	91.360329	Marineville,
5	1	3	1	1	9	561	2085	52	13	96.376656	12345.
2	1	4	0	0	0	953	1674	164	54	-1	
3	1	4	1	0	0	953	1674	164	54	-1	
4	1	4	1	1	0	953	1674	99	16	-1	
5	1	4	1	1	1	953	1674	99	16	96.263145	Customer
4	1	4	1	2	0	954	1711	163	17	-1	
5	1	4	1	2	1	954	1711	71	17	96.675613	Invoice
5	1	4	1	2	2	1034	1711	83	17	96.240807	Number
2	1	5	0	0	0	953	1760	130	54	-1	
3	1	5	1	0	0	953	1760	130	54	-1	
4	1	5	1	1	0	953	1760	130	16	-1	
5	1	5	1	1	1	953	1760	83	16	95.948006	Amount
5	1	5	1	1	2	1044	1760	39	16	95.563057	Due
4	1	5	1	2	0	954	1798	94	16	-1	
5	1	5	1	2	1	954	1798	39	16	96.729935	Due
5	1	5	1	2	2	1002	1798	46	16	96.648560	Date
2	1	6	0	0	0	953	1845	179	17	-1	
3	1	6	1	0	0	953	1845	179	17	-1	
4	1	6	1	1	0	953	1845	179	17	-1	
5	1	6	1	1	1	953	1846	83	16	96.583763	Amount
5	1	6	1	1	2	1044	1845	88	17	96.541893	Enclosed
2	1	7	0	0	0	1191	1673	125	55	-1	
3	1	7	1	0	0	1191	1673	125	55	-1	
4	1	7	1	1	0	1191	1673	125	21	-1	
5	1	7	1	1	1	1191	1673	74	21	96.031761	Bayside
5	1	7	1	1	2	1273	1673	43	17	96.570541	Club
4	1	7	1	2	0	1191	1712	90	16	-1	
5	1	7	1	2	1	1191	1712	90	16	91.319778	INV-0028
2	1	8	0	0	0	1190	1760	105	54	-1	
3	1	8	1	0	0	1190	1760	105	54	-1	
4	1	8	1	1	0	1190	1760	68	16	-1	
5	1	8	1	1	1	1190	1760	68	16	96.849197	234.00
4	1	8	1	2	0	1191	1798	104	16	-1	
5	1	8	1	2	1	1191	1798	9	16	55.082916	1
5	1	8	1	2	2	1207	1798	31	16	55.082916	Jan
5	1	8	1	2	3	1247	1798	48	16	96.221924	2026
2	1	9	0	0	0	1181	1878	394	4	-1	
3	1	9	1	0	0	1181	1878	394	4	-1	
4	1	9	1	1	0	1181	1878	394	4	-1	
5	1	9	1	1	1	1181	1878	394	4	95.000000	 
2	1	10	0	0	0	1221	1892	352	19	-1	
3	1	10	1	0	0	1221	1892	352	19	-1	
4	1	10	1	1	0	1221	1892	352	19	-1	
5	1	10	1	1	1	1221	1893	46	14	96.647186	Enter
5	1	10	1	1	2	1275	1892	26	15	96.739250	the
5	1	10	1	1	3	1308	1894	69	13	96.769051	amount
5	1	10	1	1	4	1384	1897	30	14	96.258186	you
5	1	10	1	1	5	1422	1897	27	10	96.258186	are
5	1	10	1	1	6	1457	1893	57	18	96.636772	paying
5	1	10	1	1	7	1521	1892	52	15	96.805267	above
